iter	Passed	Remaining
549	79108	29773
550	79255	29631
551	79393	29484
552	79525	29336
553	79681	29197
554	79820	29051
555	79963	28907
556	80128	28771
557	80275	28628
558	80408	28480
559	80551	28336
560	80677	28186
561	80824	28044
562	80953	27895
563	81088	27748
564	81213	27598
565	81340	27448
566	81481	27304
567	81632	27163
568	81791	27024
569	81942	26882
570	82095	26742
571	82248	26601
572	82395	26458
573	82536	26313
574	82670	26166
575	82810	26022
576	82964	25881
577	83114	25739
578	83251	25593
579	83389	25448
580	83517	25299
581	83651	25152
